File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_NDVI_doy2011033_aid0001,_500m_16_days_NDVI,aid0001,2011-02-02,3642.0,-0.1932,0.8449,"(-0.1932,0.8449)",0.3754387,0.1469427,0.0215922,0.4747,0.7637,0.3847,-0.008,0.27805
MOD13A1_006__500m_16_days_NDVI_doy2011049_aid0001,_500m_16_days_NDVI,aid0001,2011-02-18,3665.0,-0.1843,0.8215,"(-0.1843,0.8215)",0.4026139,0.1544864,0.0238661,0.4981,0.7693,0.4216,0.0434,0.3161
MOD13A1_006__500m_16_days_NDVI_doy2011065_aid0001,_500m_16_days_NDVI,aid0001,2011-03-06,3629.0,-0.1938,0.7949,"(-0.1938,0.7949)",0.3777529,0.1455765,0.0211925,0.4681,0.7324,0.3865,0.0208,0.2879
MOD13A1_006__500m_16_days_NDVI_doy2011081_aid0001,_500m_16_days_NDVI,aid0001,2011-03-22,3635.0,-0.1961,0.7767,"(-0.1961,0.7767)",0.3717541,0.1550257,0.024033,0.47505,0.7633,0.3972,-0.0065,0.2821
MOD13A1_006__500m_16_days_NDVI_doy2011097_aid0001,_500m_16_days_NDVI,aid0001,2011-04-07,3628.0,-0.1831,0.7764,"(-0.1831,0.7764)",0.4071769,0.1491852,0.0222562,0.5046,0.7466,0.4308,0.0886,0.3381
MOD13A1_006__500m_16_days_NDVI_doy2011113_aid0001,_500m_16_days_NDVI,aid0001,2011-04-23,3650.0,-0.1402,0.7572,"(-0.1402,0.7572)",0.4308058,0.1361486,0.0185364,0.5187,0.7508,0.447,0.137,0.3635
MOD13A1_006__500m_16_days_NDVI_doy2011129_aid0001,_500m_16_days_NDVI,aid0001,2011-05-09,3617.0,-0.1664,0.8041,"(-0.1664,0.8041)",0.482494,0.1559211,0.0243114,0.5903,0.8041,0.505,0.1222,0.4024
MOD13A1_006__500m_16_days_NDVI_doy2011145_aid0001,_500m_16_days_NDVI,aid0001,2011-05-25,3635.0,-0.1995,0.8345,"(-0.1995,0.8345)",0.5011484,0.1617188,0.026153,0.6109,0.8345,0.5153,0.145,0.4231
MOD13A1_006__500m_16_days_NDVI_doy2011353_aid0001,_500m_16_days_NDVI,aid0001,2011-12-19,3621.0,-0.1366,0.8599,"(-0.1366,0.8599)",0.4449033,0.1616713,0.0261376,0.5527,0.8373,0.4652,0.06,0.3556
MOD13A1_006__500m_16_days_NDVI_doy2012001_aid0001,_500m_16_days_NDVI,aid0001,2012-01-01,3607.0,-0.1923,0.8937,"(-0.1923,0.8937)",0.4290983,0.1884746,0.0355227,0.5498,0.8497,0.4574,0.042,0.346
MOD13A1_006__500m_16_days_NDVI_doy2012017_aid0001,_500m_16_days_NDVI,aid0001,2012-01-17,3624.0,-0.1859,0.8242,"(-0.1859,0.8242)",0.4068804,0.1819787,0.0331162,0.5286,0.8242,0.437,-0.0105,0.3122
MOD13A1_006__500m_16_days_NDVI_doy2012033_aid0001,_500m_16_days_NDVI,aid0001,2012-02-02,3647.0,-0.1259,0.8869,"(-0.1259,0.8869)",0.4127693,0.1482544,0.0219794,0.5047,0.7688,0.4308,0.059,0.32595
MOD13A1_006__500m_16_days_NDVI_doy2012049_aid0001,_500m_16_days_NDVI,aid0001,2012-02-18,3618.0,-0.1358,0.836,"(-0.1358,0.836)",0.3543623,0.1637901,0.0268272,0.480275,0.836,0.372,-0.1358,0.2226
MOD13A1_006__500m_16_days_NDVI_doy2012065_aid0001,_500m_16_days_NDVI,aid0001,2012-03-05,3641.0,-0.0236,0.808,"(-0.0236,0.808)",0.4028879,0.1407657,0.019815,0.49,0.7385,0.4203,0.0742,0.3224
MOD13A1_006__500m_16_days_NDVI_doy2012081_aid0001,_500m_16_days_NDVI,aid0001,2012-03-21,3643.0,-0.1937,0.8157,"(-0.1937,0.8157)",0.4058536,0.1409501,0.0198669,0.4898,0.7273,0.4228,0.0916,0.3301
MOD13A1_006__500m_16_days_NDVI_doy2012097_aid0001,_500m_16_days_NDVI,aid0001,2012-04-06,3648.0,-0.1903,0.7417,"(-0.1903,0.7417)",0.4235616,0.1509691,0.0227917,0.5167,0.7417,0.4502,0.089,0.344025
MOD13A1_006__500m_16_days_NDVI_doy2012113_aid0001,_500m_16_days_NDVI,aid0001,2012-04-22,3638.0,-0.0811,0.7473,"(-0.0811,0.7473)",0.3606305,0.1863415,0.0347232,0.5103,0.7473,0.36855,-0.0811,0.1811
MOD13A1_006__500m_16_days_NDVI_doy2012129_aid0001,_500m_16_days_NDVI,aid0001,2012-05-08,3634.0,-0.1839,0.8193,"(-0.1839,0.8193)",0.4797498,0.1568763,0.0246102,0.586475,0.8193,0.4965,0.1334,0.4039
MOD13A1_006__500m_16_days_NDVI_doy2012145_aid0001,_500m_16_days_NDVI,aid0001,2012-05-24,3632.0,-0.1946,0.8705,"(-0.1946,0.8705)",0.4930877,0.1776511,0.0315599,0.6116,0.8705,0.51455,0.1131,0.4122
MOD13A1_006__500m_16_days_NDVI_doy2012353_aid0001,_500m_16_days_NDVI,aid0001,2012-12-18,3616.0,-0.2,0.9722,"(-0.2,0.9722)",0.4890351,0.1831245,0.0335346,0.6179,0.9722,0.5163,0.0217,0.379025
MOD13A1_006__500m_16_days_NDVI_doy2013001_aid0001,_500m_16_days_NDVI,aid0001,2013-01-01,3617.0,-0.2,0.9261,"(-0.2,0.9261)",0.4643683,0.167904,0.0281917,0.5792,0.8718,0.4779,0.0608,0.3713
MOD13A1_006__500m_16_days_NDVI_doy2013017_aid0001,_500m_16_days_NDVI,aid0001,2013-01-17,3641.0,-0.0639,0.7889,"(-0.0639,0.7889)",0.3622396,0.167756,0.0281421,0.4858,0.7889,0.3465,-0.0639,0.2508
MOD13A1_006__500m_16_days_NDVI_doy2013033_aid0001,_500m_16_days_NDVI,aid0001,2013-02-02,3622.0,-0.1581,0.8892,"(-0.1581,0.8892)",0.420843,0.1594436,0.0254222,0.52915,0.8147,0.4315,0.0171,0.321725
MOD13A1_006__500m_16_days_NDVI_doy2013049_aid0001,_500m_16_days_NDVI,aid0001,2013-02-18,3664.0,-0.1642,0.806,"(-0.1642,0.806)",0.4031912,0.1465679,0.0214821,0.497775,0.7562,0.41595,0.0647,0.3242
MOD13A1_006__500m_16_days_NDVI_doy2013065_aid0001,_500m_16_days_NDVI,aid0001,2013-03-06,3631.0,-0.1932,0.8592,"(-0.1932,0.8592)",0.45395,0.1472606,0.0216857,0.5487,0.8221,0.466,0.0855,0.3615
MOD13A1_006__500m_16_days_NDVI_doy2013081_aid0001,_500m_16_days_NDVI,aid0001,2013-03-22,3620.0,-0.0892,0.7729,"(-0.0892,0.7729)",0.4228402,0.13569,0.0184118,0.510525,0.7621,0.4402,0.0902,0.3398
MOD13A1_006__500m_16_days_NDVI_doy2013097_aid0001,_500m_16_days_NDVI,aid0001,2013-04-07,3617.0,-0.1819,0.7987,"(-0.1819,0.7987)",0.4489676,0.159877,0.0255606,0.5571,0.7987,0.4697,0.085,0.3681
MOD13A1_006__500m_16_days_NDVI_doy2013113_aid0001,_500m_16_days_NDVI,aid0001,2013-04-23,3667.0,-0.1742,0.847,"(-0.1742,0.847)",0.4687614,0.1623791,0.026367,0.5819,0.847,0.4912,0.0932,0.3861
MOD13A1_006__500m_16_days_NDVI_doy2013129_aid0001,_500m_16_days_NDVI,aid0001,2013-05-09,3631.0,-0.1616,0.8366,"(-0.1616,0.8366)",0.4955383,0.1580746,0.0249876,0.6015,0.8366,0.5195,0.1405,0.4167
MOD13A1_006__500m_16_days_NDVI_doy2013145_aid0001,_500m_16_days_NDVI,aid0001,2013-05-25,3586.0,-0.1913,0.8627,"(-0.1913,0.8627)",0.5181074,0.1745732,0.0304758,0.64145,0.8627,0.5369,0.1202,0.4326
MOD13A1_006__500m_16_days_NDVI_doy2013353_aid0001,_500m_16_days_NDVI,aid0001,2013-12-19,3619.0,-0.1442,0.9868,"(-0.1442,0.9868)",0.455745,0.1695427,0.0287447,0.5649,0.8633,0.4735,0.0511,0.3575
MOD13A1_006__500m_16_days_NDVI_doy2014001_aid0001,_500m_16_days_NDVI,aid0001,2014-01-01,3671.0,-0.1985,0.9542,"(-0.1985,0.9542)",0.4502207,0.1698316,0.0288428,0.55865,0.8633,0.4685,0.0434,0.3507
MOD13A1_006__500m_16_days_NDVI_doy2014017_aid0001,_500m_16_days_NDVI,aid0001,2014-01-17,3645.0,-0.1563,0.9537,"(-0.1563,0.9537)",0.4589657,0.1712842,0.0293383,0.5666,0.8618,0.4708,0.0733,0.3684
MOD13A1_006__500m_16_days_NDVI_doy2014033_aid0001,_500m_16_days_NDVI,aid0001,2014-02-02,3642.0,-0.1933,0.8503,"(-0.1933,0.8503)",0.4066333,0.1425048,0.0203076,0.4949,0.7406,0.4152,0.0553,0.316625
MOD13A1_006__500m_16_days_NDVI_doy2014049_aid0001,_500m_16_days_NDVI,aid0001,2014-02-18,3623.0,-0.1885,0.8459,"(-0.1885,0.8459)",0.349672,0.1881612,0.0354046,0.4762,0.7814,0.3791,-0.0664,0.25
MOD13A1_006__500m_16_days_NDVI_doy2014065_aid0001,_500m_16_days_NDVI,aid0001,2014-03-06,3645.0,-0.1724,0.7916,"(-0.1724,0.7916)",0.3793849,0.140139,0.0196389,0.4675,0.7162,0.3947,0.0494,0.2982
MOD13A1_006__500m_16_days_NDVI_doy2014081_aid0001,_500m_16_days_NDVI,aid0001,2014-03-22,3671.0,-0.069,0.7748,"(-0.069,0.7748)",0.4105485,0.132923,0.0176685,0.4982,0.7219,0.4264,0.094,0.3336
MOD13A1_006__500m_16_days_NDVI_doy2014097_aid0001,_500m_16_days_NDVI,aid0001,2014-04-07,3604.0,-0.1592,0.7714,"(-0.1592,0.7714)",0.4353002,0.1410998,0.0199092,0.5258,0.7714,0.4558,0.0945,0.3531
MOD13A1_006__500m_16_days_NDVI_doy2014113_aid0001,_500m_16_days_NDVI,aid0001,2014-04-23,3625.0,-0.1907,0.7941,"(-0.1907,0.7941)",0.4596414,0.1506605,0.0226986,0.561,0.7941,0.4824,0.1373,0.3903
MOD13A1_006__500m_16_days_NDVI_doy2014129_aid0001,_500m_16_days_NDVI,aid0001,2014-05-09,3630.0,-0.1988,0.9088,"(-0.1988,0.9088)",0.5062592,0.1648024,0.0271598,0.620725,0.9088,0.5213,0.1283,0.4236
MOD13A1_006__500m_16_days_NDVI_doy2014145_aid0001,_500m_16_days_NDVI,aid0001,2014-05-25,3655.0,-0.1651,0.8456,"(-0.1651,0.8456)",0.5065307,0.1577184,0.0248751,0.6088,0.8456,0.5167,0.1562,0.4255
