File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2020033_aid0001,_500m_16_days_EVI,aid0001,2020-02-02,1617.0,0.0157,0.4534,"(0.0157,0.4534)",0.2005278,0.0962645,0.0092668,0.2808,0.4534,0.2079,0.0157,0.1106
MOD13A1_006__500m_16_days_EVI_doy2020049_aid0001,_500m_16_days_EVI,aid0001,2020-02-18,1617.0,0.0277,0.5058,"(0.0277,0.5058)",0.2518231,0.1206313,0.0145519,0.3631,0.5058,0.2728,0.0277,0.1326
MOD13A1_006__500m_16_days_EVI_doy2020065_aid0001,_500m_16_days_EVI,aid0001,2020-03-05,1617.0,0.0281,0.5448,"(0.0281,0.5448)",0.2210045,0.1074327,0.0115418,0.3179,0.5448,0.2429,0.0281,0.113
MOD13A1_006__500m_16_days_EVI_doy2020081_aid0001,_500m_16_days_EVI,aid0001,2020-03-21,1617.0,0.04,0.4492,"(0.04,0.4492)",0.234016,0.1038513,0.0107851,0.3279,0.4492,0.2558,0.04,0.1284
MOD13A1_006__500m_16_days_EVI_doy2020097_aid0001,_500m_16_days_EVI,aid0001,2020-04-06,1617.0,0.0356,0.524,"(0.0356,0.524)",0.2761912,0.1305714,0.0170489,0.4087,0.524,0.2823,0.0356,0.1498
MOD13A1_006__500m_16_days_EVI_doy2020113_aid0001,_500m_16_days_EVI,aid0001,2020-04-22,1617.0,0.0169,0.6024,"(0.0169,0.6024)",0.3337142,0.160519,0.0257663,0.4893,0.6024,0.3232,0.0169,0.1772
MOD13A1_006__500m_16_days_EVI_doy2020129_aid0001,_500m_16_days_EVI,aid0001,2020-05-08,1617.0,0.0524,0.7373,"(0.0524,0.7373)",0.3767846,0.1813662,0.0328937,0.5523,0.7373,0.409,0.0524,0.1949
MOD13A1_006__500m_16_days_EVI_doy2020145_aid0001,_500m_16_days_EVI,aid0001,2020-05-24,1617.0,0.0567,0.7357,"(0.0567,0.7357)",0.3554785,0.195773,0.0383271,0.5468,0.7357,0.3361,0.0567,0.1547
MOD13A1_006__500m_16_days_EVI_doy2020353_aid0001,_500m_16_days_EVI,aid0001,2020-12-18,1617.0,0.004,0.4946,"(0.004,0.4946)",0.2308997,0.1245975,0.0155245,0.3378,0.4946,0.2481,0.004,0.1073
MOD13A1_006__500m_16_days_EVI_doy2021001_aid0001,_500m_16_days_EVI,aid0001,2021-01-01,1617.0,0.0232,0.5526,"(0.0232,0.5526)",0.2485616,0.1338522,0.0179164,0.3708,0.5526,0.2644,0.0232,0.1134
MOD13A1_006__500m_16_days_EVI_doy2021017_aid0001,_500m_16_days_EVI,aid0001,2021-01-17,1617.0,0.014,0.4603,"(0.014,0.4603)",0.2108714,0.1080662,0.0116783,0.3009,0.4603,0.2221,0.014,0.1104
MOD13A1_006__500m_16_days_EVI_doy2021033_aid0001,_500m_16_days_EVI,aid0001,2021-02-02,1617.0,0.016,0.4685,"(0.016,0.4685)",0.2045575,0.1004885,0.0100979,0.2934,0.4685,0.2179,0.016,0.1075
MOD13A1_006__500m_16_days_EVI_doy2021049_aid0001,_500m_16_days_EVI,aid0001,2021-02-18,1617.0,0.0174,0.4511,"(0.0174,0.4511)",0.204873,0.1006483,0.0101301,0.2912,0.4511,0.2189,0.0174,0.104
MOD13A1_006__500m_16_days_EVI_doy2021065_aid0001,_500m_16_days_EVI,aid0001,2021-03-06,1617.0,0.0446,0.4562,"(0.0446,0.4562)",0.2376139,0.1058602,0.0112064,0.3235,0.4562,0.2571,0.0446,0.1307
MOD13A1_006__500m_16_days_EVI_doy2021081_aid0001,_500m_16_days_EVI,aid0001,2021-03-22,1617.0,0.0302,0.485,"(0.0302,0.485)",0.2639669,0.1300743,0.0169193,0.3969,0.485,0.2574,0.0302,0.1347
MOD13A1_006__500m_16_days_EVI_doy2021097_aid0001,_500m_16_days_EVI,aid0001,2021-04-07,1617.0,0.0484,0.5137,"(0.0484,0.5137)",0.2511646,0.1057863,0.0111907,0.3429,0.5137,0.2815,0.0484,0.1461
MOD13A1_006__500m_16_days_EVI_doy2021113_aid0001,_500m_16_days_EVI,aid0001,2021-04-23,1617.0,0.076,0.594,"(0.076,0.594)",0.3143058,0.1500086,0.0225026,0.4424,0.594,0.3086,0.076,0.1697
MOD13A1_006__500m_16_days_EVI_doy2021129_aid0001,_500m_16_days_EVI,aid0001,2021-05-09,1617.0,0.0433,0.6336,"(0.0433,0.6336)",0.3533955,0.169461,0.028717,0.5249,0.6336,0.3599,0.0433,0.1831
MOD13A1_006__500m_16_days_EVI_doy2021145_aid0001,_500m_16_days_EVI,aid0001,2021-05-25,1617.0,0.0643,0.7056,"(0.0643,0.7056)",0.3787727,0.1839141,0.0338244,0.5526,0.7056,0.4117,0.0643,0.1861
MOD13A1_006__500m_16_days_EVI_doy2021353_aid0001,_500m_16_days_EVI,aid0001,2021-12-19,1617.0,0.0158,0.5014,"(0.0158,0.5014)",0.2191642,0.1083657,0.0117431,0.3104,0.5014,0.2312,0.0158,0.1177
MOD13A1_006__500m_16_days_EVI_doy2022001_aid0001,_500m_16_days_EVI,aid0001,2022-01-01,1617.0,0.0019,0.5954,"(0.0019,0.5954)",0.2276792,0.1203694,0.0144888,0.3296,0.5954,0.2372,0.0019,0.1159
